frequency_hz,amplitude,amplitude_db
9453125.000,5.73994289762e-09,-164.821848561
9456250.000,6.50934026709e-09,-163.729260514
9459375.000,7.22758885243e-09,-162.820131212
9462500.000,7.88406660151e-09,-162.064994313
9465625.000,8.46871607526e-09,-161.443648544
9468750.000,8.97218720507e-09,-160.942033468
9471875.000,9.38597168044e-09,-160.550415210
9475000.000,9.70252707518e-09,-160.262302734
9478125.000,9.91538897686e-09,-160.073804878
9481250.000,1.00192695471e-08,-159.983278789
9484375.000,1.00101411196e-08,-159.991195999
9487500.000,9.88530365567e-09,-160.100199711
9490625.000,9.64343509159e-09,-160.315364767
9493750.000,9.28462385048e-09,-160.644713724
9496875.000,8.81038302942e-09,-161.100104206
9500000.000,8.22364602718e-09,-161.698711828
9503125.000,7.52874362632e-09,-162.465549830
9506250.000,6.73136279579e-09,-163.437940039
9509375.000,5.8384877249e-09,-164.673992571
9512500.000,4.8583238449e-09,-166.270270790
9515625.000,3.80020581397e-09,-168.403857639
9518750.000,2.6744906648e-09,-171.455178273
9521875.000,1.49243750667e-09,-176.522076903
9525000.000,2.66075349437e-10,-191.499907176
9528125.000,9.91939216482e-10,-180.070298790
9531250.000,2.26847263032e-09,-172.885329125
9534375.000,3.55007128842e-09,-168.995258517
9537500.000,4.82312274887e-09,-166.333433702
9540625.000,6.07401910567e-09,-164.330476927
9543750.000,7.28932041635e-09,-162.746259182
9546875.000,8.4559160606e-09,-161.456786736
9550000.000,9.56118194703e-09,-160.389768344
9553125.000,1.05931315433e-08,-159.499512694
9556250.000,1.15405587961e-08,-158.755463241
9559375.000,1.23931711182e-08,-158.136351075
9562500.000,1.31417107584e-08,-157.626961912
9565625.000,1.3778063033e-08,-157.216236655
9568750.000,1.4295350071e-08,-156.896104100
9571875.000,1.46880089273e-08,-156.660741444
9575000.000,1.49518531243e-08,-156.506099556
9578125.000,1.50841169106e-08,-156.429602204
9581250.000,1.5083481749e-08,-156.429967957
9584375.000,1.49500847882e-08,-156.507126885
9587500.000,1.46855093068e-08,-156.662219743
9590625.000,1.42927573561e-08,-156.897679582
9593750.000,1.37762050629e-08,-157.217408025
9596875.000,1.31415412731e-08,-157.627073933
9600000.000,1.23956904367e-08,-158.134585563
9603125.000,1.15467208313e-08,-158.750826683
9606250.000,1.06037394113e-08,-159.490819073
9609375.000,9.57677473039e-09,-160.375614563
9612500.000,8.47664953551e-09,-161.435515445
9615625.000,7.31484475409e-09,-162.715897733
9618750.000,6.10335669319e-09,-164.288624964
9621875.000,4.85454934722e-09,-166.277021598
9625000.000,3.58100375781e-09,-168.919904465
9628125.000,2.29536639246e-09,-172.782959627
9631250.000,1.01019850614e-09,-179.911865561
9634375.000,2.62171584297e-10,-191.628287630
9637500.000,1.50979143494e-09,-176.421660854
9640625.000,2.72122082221e-09,-171.304724291
9643750.000,3.88565981421e-09,-168.210704483
9646875.000,4.9930669971e-09,-166.032652131
9650000.000,6.03426643958e-09,-164.387510354
9653125.000,7.00104213885e-09,-163.096746167
9656250.000,7.88621887214e-09,-162.062623476
9659375.000,8.68372856907e-09,-161.225875199
9662500.000,9.38866152482e-09,-160.547926352
9665625.000,9.99730198278e-09,-160.002343784
9668750.000,1.0507147826e-08,-159.570303151
9671875.000,1.09169143427e-08,-159.238001946
9675000.000,1.1226522232e-08,-158.995095185
9678125.000,1.14370702375e-08,-158.833704236
9681250.000,1.15507929933e-08,-158.747763985
9684375.000,1.15710048595e-08,-158.732578480
9687500.000,1.15020307083e-08,-158.784509545
9690625.000,1.13491247834e-08,-158.900752578
9693750.000,1.11183789059e-08,-159.079170592
9696875.000,1.0816621427e-08,-159.318167400
9700000.000,1.04513084422e-08,-159.616586701
9703125.000,1.00304088593e-08,-159.973627278
9706250.000,9.56228498667e-09,-160.388766342
9709375.000,9.05557034077e-09,-160.861683832
9712500.000,8.51904639415e-09,-161.392180332
9715625.000,7.96151997252e-09,-161.980080221
9718750.000,7.39170298383e-09,-162.625109848
9721875.000,6.81809610214e-09,-163.326737632
9725000.000,6.24887795872e-09,-164.083959141
9728125.000,5.69180129072e-09,-164.895005404
9731250.000,5.1540973852e-09,-165.756947597
9734375.000,4.64239001868e-09,-166.665167524
9737500.000,4.16261994712e-09,-167.612664780
9740625.000,3.71998083474e-09,-168.589185952
9743750.000,3.31886733931e-09,-169.580202134
9746875.000,2.96283588785e-09,-170.565848070
9750000.000,2.65457849046e-09,-171.520088579
9753125.000,2.39590974855e-09,-172.410590908
9756250.000,2.18776702329e-09,-173.199978563
9759375.000,2.0302235413e-09,-173.849122814
9762500.000,1.92251403189e-09,-174.322609634
9765625.000,1.86307231347e-09,-174.595405761
9768750.000,1.84958008172e-09,-174.658537204
9771875.000,1.87902599837e-09,-174.521344218
9775000.000,1.94777404072e-09,-174.209228532
9778125.000,2.05163994904e-09,-173.757977061
9781250.000,2.18597450481e-09,-173.207098151
9784375.000,2.34575228643e-09,-172.594357034
9787500.000,2.52566448516e-09,-171.952486852
9790625.000,2.72021431912e-09,-171.307937552
9793750.000,2.92381356134e-09,-170.681006477
9796875.000,3.13087869767e-09,-170.086675166
9800000.000,3.33592525135e-09,-169.535673785
9803125.000,3.53365885332e-09,-169.035507610
